"trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint"
"1183-07208-71700-2-d511ea64,20:16:39,20:16:39,6242-a9188bd7,24,BOTANY,0,0,11.58,0"
"1183-07208-71700-2-d511ea64,20:17:14,20:17:14,6244-5df958b5,25,BOTANY,0,0,11.881,0"
"1183-07208-71700-2-d511ea64,20:18:04,20:18:04,6246-ba211fe8,26,BOTANY,0,0,12.315,0"
"1183-07208-71700-2-d511ea64,20:18:42,20:18:42,2111-46d8fecd,27,BOTANY,0,0,12.638,0"
"1183-07208-71700-2-d511ea64,20:19:33,20:19:33,1927-98845622,28,BOTANY,0,0,13.069,0"
"1183-07208-71700-2-d511ea64,20:19:55,20:19:55,6257-22a000bb,29,BOTANY,0,0,13.262,0"
"1183-07208-71700-2-d511ea64,20:20:48,20:20:48,6938-6d31ac85,30,BOTANY,0,0,13.716,0"
"1183-07208-71700-2-d511ea64,20:23:00,20:23:00,6233-47eb8987,31,BOTANY,1,0,14.84,0"
"1054-39405-40500-2-8a639410,11:15:00,11:15:00,2850-3422d278,1,PAERATA RISE,0,0,0,0"
"1054-39405-40500-2-8a639410,11:16:13,11:16:13,2928-c49936fe,2,PAERATA RISE,0,0,0.811,0"
"1054-39405-40500-2-8a639410,11:17:00,11:17:00,2888-e045a4e2,3,PAERATA RISE,0,0,1.334,0"
"1054-39405-40500-2-8a639410,11:17:17,11:17:17,2832-70c5fb58,4,PAERATA RISE,1,1,1.514,0"
"1054-39405-40500-2-8a639410,11:17:48,11:17:48,2844-c5c06611,5,PAERATA RISE,0,0,1.861,0"
"1054-39405-40500-2-8a639410,11:18:29,11:18:29,2836-995003f2,6,PAERATA RISE,0,0,2.31,0"
"1054-39405-40500-2-8a639410,11:18:54,11:18:54,2834-8e65768f,7,PAERATA RISE,0,0,2.585,0"
"1054-39405-40500-2-8a639410,11:20:30,11:20:30,2380-efbdf952,8,PAERATA RISE,0,0,3.653,0"
"1054-39405-40500-2-8a639410,11:21:25,11:21:25,2865-13391d53,9,PAERATA RISE,0,0,4.259,0"
"1054-39405-40500-2-8a639410,11:22:38,11:22:38,2900-10702c0a,10,PAERATA RISE,0,0,5.071,0"
"1054-39405-40500-2-8a639410,11:23:07,11:23:07,2828-3a010db0,11,PAERATA RISE,0,0,5.387,0"
"1054-39405-40500-2-8a639410,11:23:36,11:23:36,2822-7a7f3e5d,12,PAERATA RISE,0,0,5.711,0"
"1054-39405-40500-2-8a639410,11:24:01,11:24:01,2854-6f600908,13,PAERATA RISE,0,0,5.986,0"
"1054-39405-40500-2-8a639410,11:27:32,11:27:32,2824-b9bf187d,14,PAPAKURA,0,0,8.327,0"
"1054-39405-40500-2-8a639410,11:28:00,11:28:00,2826-23d3e76e,15,PAPAKURA,0,0,8.635,0"
"1054-39405-40500-2-8a639410,11:48:00,11:48:00,2716-29bbacfe,16,PAPAKURA,1,0,21.651,0"
"1222-01108-33720-2-935ba460,09:22:00,09:22:00,1005-c105552e,1,NORTHWEST,0,0,0,0"
"1222-01108-33720-2-935ba460,09:25:11,09:25:11,7030-621caa72,2,NORTHWEST,0,0,0.727,0"
"1222-01108-33720-2-935ba460,09:26:44,09:26:44,7082-6e0c4fef,3,NORTHWEST,0,0,1.082,0"
"1222-01108-33720-2-935ba460,09:28:00,09:28:00,7084-4da5d2dd,4,NORTHWEST,0,0,1.367,0"
"1222-01108-33720-2-935ba460,09:29:36,09:29:36,1524-2e7e0ebb,5,NORTHWEST,0,0,1.73,0"
"1222-01108-33720-2-935ba460,09:32:00,09:32:00,7136-7b4dffe1,6,NORTHWEST,0,0,2.278,0"
"1222-01108-33720-2-935ba460,09:32:42,09:32:42,8100-08cef0ad,7,NORTHWEST,0,0,2.657,0"
"1222-01108-33720-2-935ba460,09:33:09,09:33:09,8102-7250bcd8,8,NORTHWEST,0,0,2.902,0"
"1222-01108-33720-2-935ba460,09:33:44,09:33:44,8104-8bfd88ba,9,NORTHWEST,0,0,3.215,0"
"1222-01108-33720-2-935ba460,09:34:08,09:34:08,8106-95c39e43,10,NORTHWEST,0,0,3.435,0"
"1222-01108-33720-2-935ba460,09:34:36,09:34:36,8108-01016126,11,NORTHWEST,0,0,3.686,0"
"1222-01108-33720-2-935ba460,09:35:22,09:35:22,8112-dbbd55df,12,NORTHWEST,0,0,4.1,0"
"1222-01108-33720-2-935ba460,09:35:54,09:35:54,8114-f4e4a02c,13,NORTHWEST,0,0,4.391,0"
"1222-01108-33720-2-935ba460,09:36:34,09:36:34,8118-170afaad,14,NORTHWEST,0,0,4.756,0"
"1222-01108-33720-2-935ba460,09:37:28,09:37:28,8120-1485cc06,15,NORTHWEST,0,0,5.246,0"
"1222-01108-33720-2-935ba460,09:38:42,09:38:42,8122-89235838,16,NORTHWEST,0,0,5.912,0"
"1222-01108-33720-2-935ba460,09:39:32,09:39:32,8124-c7d84961,17,NORTHWEST,0,0,6.367,0"
"1222-01108-33720-2-935ba460,09:40:13,09:40:13,8126-d353d90c,18,NORTHWEST,0,0,6.739,0"
"1222-01108-33720-2-935ba460,09:40:39,09:40:39,8128-2cf01146,19,NORTHWEST,0,0,6.972,0"
"1222-01108-33720-2-935ba460,09:41:04,09:41:04,8130-197d3cff,20,NORTHWEST,0,0,7.205,0"
"1222-01108-33720-2-935ba460,09:52:00,09:52:00,5061-8fccf5dd,21,NORTHWEST,0,0,13.14,0"
"1222-01108-33720-2-935ba460,09:57:00,09:57:00,5935-65f6f8d2,22,NORTHWEST,0,0,15.381,0"
"1222-01108-33720-2-935ba460,09:57:52,09:57:52,5613-d8443403,23,NORTHWEST,0,0,15.683,0"
"1222-01108-33720-2-935ba460,10:00:00,10:00:00,5615-881dbbf0,24,NORTHWEST,0,0,16.417,0"
"1222-01108-33720-2-935ba460,10:01:33,10:01:33,5618-0fb24f71,25,NORTHWEST,0,0,17.034,0"
"1222-01108-33720-2-935ba460,10:02:05,10:02:05,5620-f26cdceb,26,NORTHWEST,0,0,17.246,0"
"1222-01108-33720-2-935ba460,10:02:59,10:02:59,5622-746eab16,27,NORTHWEST,0,0,17.606,0"
"1222-01108-33720-2-935ba460,10:04:15,10:04:15,5601-8a075afb,28,NORTHWEST,0,0,18.108,0"
"1222-01108-33720-2-935ba460,10:04:51,10:04:51,5599-369f5d78,29,NORTHWEST,0,0,18.347,0"
"1222-01108-33720-2-935ba460,10:05:41,10:05:41,5597-3164b496,30,NORTHWEST,0,0,18.678,0"
"1222-01108-33720-2-935ba460,10:06:36,10:06:36,5595-496ef321,31,NORTHWEST,0,0,19.042,0"
"1222-01108-33720-2-935ba460,10:07:05,10:07:05,5625-9b8591ee,32,NORTHWEST,0,0,19.233,0"
"1222-01108-33720-2-935ba460,10:08:25,10:08:25,1669-4bf968cf,33,NORTHWEST,0,0,19.763,0"
"1222-01108-33720-2-935ba460,10:09:28,10:09:28,5567-b38a5324,34,NORTHWEST,0,0,20.178,0"
"1222-01108-33720-2-935ba460,10:10:00,10:10:00,5565-373697bc,35,NORTHWEST,0,0,20.39,0"
"1222-01108-33720-2-935ba460,10:10:31,10:10:31,5574-cbef2d00,36,NORTHWEST,0,0,20.592,0"
"1222-01108-33720-2-935ba460,10:11:37,10:11:37,5902-ca8fa3d1,37,NORTHWEST,0,0,21.028,0"
"1222-01108-33720-2-935ba460,10:12:21,10:12:21,1548-470f42e7,38,NORTHWEST,0,0,21.318,0"
"1222-01108-33720-2-935ba460,10:13:43,10:13:43,1599-7b11ac3b,39,NORTHWEST,0,0,21.858,0"
"1222-01108-33720-2-935ba460,10:15:02,10:15:02,5991-fe74ede0,40,NORTHWEST,0,0,22.379,0"
"1222-01108-33720-2-935ba460,10:16:00,10:16:00,5941-0575e04d,41,NORTHWEST,1,0,22.765,0"
"1389-06401-68400-2-c96ab2bf,19:00:00,19:00:00,7203-52127399,1,MT EDEN,0,0,0,0"
"1389-06401-68400-2-c96ab2bf,19:00:46,19:00:46,7201-b3efdf9d,2,MT EDEN,0,0,0.336,0"
"1389-06401-68400-2-c96ab2bf,19:01:37,19:01:37,7177-4660a5ff,3,MT EDEN,0,0,0.712,0"
"1389-06401-68400-2-c96ab2bf,19:02:22,19:02:22,7175-9bcf7fd5,4,MT EDEN,0,0,1.037,0"
"1389-06401-68400-2-c96ab2bf,19:04:11,19:04:11,7226-9f6992bd,5,KINGSLAND,0,0,1.841,0"
"1389-06401-68400-2-c96ab2bf,19:05:04,19:05:04,8502-39116aa8,6,KINGSLAND,0,0,2.227,0"
"1389-06401-68400-2-c96ab2bf,19:05:41,19:05:41,8504-5c58d944,7,KINGSLAND,0,0,2.497,0"
"1389-06401-68400-2-c96ab2bf,19:06:24,19:06:24,1870-e4a340c2,8,KINGSLAND,0,0,2.815,0"
"1389-06401-68400-2-c96ab2bf,19:06:50,19:06:50,8506-3024a20c,9,KINGSLAND,0,0,3.063,0"
"1389-06401-68400-2-c96ab2bf,19:07:35,19:07:35,8508-f54f12f2,10,KINGSLAND,0,0,3.322,0"
"1389-06401-68400-2-c96ab2bf,19:08:51,19:08:51,1302-c49f1460,11,KINGSLAND,0,0,3.727,0"
"1389-06401-68400-2-c96ab2bf,19:10:08,19:10:08,1450-d95fa745,12,KINGSLAND,0,0,4.443,0"
"1389-06401-68400-2-c96ab2bf,19:10:59,19:11:00,1404-e4d1326d,13,KINGSLAND,0,0,4.826,1"
"1389-06401-68400-2-c96ab2bf,19:11:22,19:11:22,8407-e5857898,14,KINGSLAND,0,0,4.959,0"
"1389-06401-68400-2-c96ab2bf,19:13:25,19:13:25,7288-bb6afee3,15,MT EDEN,0,0,5.712,0"
"1389-06401-68400-2-c96ab2bf,19:14:08,19:14:08,8300-b8c082cf,16,MT EDEN,0,0,5.979,0"
"1389-06401-68400-2-c96ab2bf,19:16:42,19:16:42,1043-7dff423e,17,NEWMARKET,0,0,6.92,0"
"1389-06401-68400-2-c96ab2bf,19:17:46,19:17:46,8978-f95c2d1a,18,NEWMARKET,0,0,7.31,0"
"1389-06401-68400-2-c96ab2bf,19:19:24,19:19:24,8976-0542e5af,19,NEWMARKET,0,0,8.051,0"
"1389-06401-68400-2-c96ab2bf,19:20:50,19:20:50,8511-ad7b97ce,20,NEWMARKET,0,0,8.444,0"
"1389-06401-68400-2-c96ab2bf,19:21:47,19:21:47,8509-694292a8,21,NEWMARKET,0,0,8.79,0"
"1389-06401-68400-2-c96ab2bf,19:22:27,19:22:27,8507-1d1dbb48,22,NEWMARKET,0,0,9.032,0"
"1389-06401-68400-2-c96ab2bf,19:23:24,19:23:24,8505-5bfeb2fa,23,NEWMARKET,0,0,9.382,0"
"1389-06401-68400-2-c96ab2bf,19:23:56,19:23:56,8503-d4c66d96,24,NEWMARKET,0,0,9.577,0"
"1389-06401-68400-2-c96ab2bf,19:24:45,19:24:45,7229-77847204,25,NEWMARKET,0,0,9.875,0"
"1389-06401-68400-2-c96ab2bf,19:27:07,19:27:07,7176-5f375d10,26,NEWMARKET,0,0,10.753,0"
"1389-06401-68400-2-c96ab2bf,19:27:48,19:27:48,8541-4701d941,27,NEWMARKET,0,0,11.006,0"
"1389-06401-68400-2-c96ab2bf,19:28:38,19:28:38,7180-d8879c11,28,NEWMARKET,0,0,11.315,0"
"1389-06401-68400-2-c96ab2bf,19:30:00,19:30:00,7204-fea806bd,29,NEWMARKET,1,0,11.819,0"
"1327-86502-63000-2-5088d9eb,17:30:00,17:30:00,4229-7b2b4fbf,1,BROWNS BAY,0,0,0,0"
"1327-86502-63000-2-5088d9eb,17:32:25,17:32:25,4341-d912150d,2,BROWNS BAY,0,0,0.799,0"
"1327-86502-63000-2-5088d9eb,17:33:29,17:33:29,4230-f56f32c5,3,BROWNS BAY,0,0,1.147,0"
"1327-86502-63000-2-5088d9eb,17:34:55,17:34:55,3181-99d91451,4,BROWNS BAY,0,0,1.623,0"
"1327-86502-63000-2-5088d9eb,17:36:32,17:36:32,4137-9d6cab33,5,BROWNS BAY,0,0,2.16,0"
"1327-86502-63000-2-5088d9eb,17:38:15,17:38:15,3146-bcdcc837,6,BROWNS BAY,0,0,2.722,0"
"1327-86502-63000-2-5088d9eb,17:39:06,17:39:06,3144-4b9cd5c3,7,BROWNS BAY,0,0,3.002,0"
"1327-86502-63000-2-5088d9eb,17:40:22,17:40:22,3140-eb860601,8,BROWNS BAY,0,0,3.417,0"
"1327-86502-63000-2-5088d9eb,17:41:35,17:41:35,3136-8dec8c25,9,BROWNS BAY,0,0,3.813,0"
"1327-86502-63000-2-5088d9eb,17:42:48,17:42:48,3134-754cb752,10,BROWNS BAY,0,0,4.215,0"
"1327-86502-63000-2-5088d9eb,17:43:28,17:43:28,3115-dd5f8893,11,BROWNS BAY,0,0,4.438,0"
"1327-86502-63000-2-5088d9eb,17:45:32,17:45:32,3111-ef202720,12,BROWNS BAY,0,0,5.112,0"
"1327-86502-63000-2-5088d9eb,17:47:00,17:47:00,3122-274030a1,13,BROWNS BAY,1,0,5.595,0"
"1157-73303-45000-2-c14f7f09,12:30:00,12:30:00,6233-47eb8987,1,BUCKLND BCH,0,0,0,0"
"1157-73303-45000-2-c14f7f09,12:31:56,12:31:56,6235-4b507972,2,BUCKLND BCH,0,0,0.794,0"
"1157-73303-45000-2-c14f7f09,12:33:22,12:33:22,6053-7d5d39dd,3,BUCKLND BCH,0,0,1.395,0"
"1157-73303-45000-2-c14f7f09,12:34:43,12:34:43,1908-6214e02f,4,BUCKLND BCH,0,0,1.964,0"
"1157-73303-45000-2-c14f7f09,12:35:42,12:35:42,1925-d508c3ea,5,BUCKLND BCH,0,0,2.38,0"
"1157-73303-45000-2-c14f7f09,12:36:59,12:36:59,1903-4edd24c6,6,BUCKLND BCH,0,0,2.918,0"
"1157-73303-45000-2-c14f7f09,12:37:32,12:37:32,6213-40c53071,7,BUCKLND BCH,0,0,3.151,0"
"1157-73303-45000-2-c14f7f09,12:39:34,12:39:34,6211-83e50e21,8,BUCKLND BCH,0,0,4.005,0"
"1157-73303-45000-2-c14f7f09,12:40:27,12:40:27,6377-d7ce1d35,9,BUCKLND BCH,0,0,4.378,0"
"1157-73303-45000-2-c14f7f09,12:40:52,12:40:52,2076-0efd73fd,10,BUCKLND BCH,0,0,4.557,0"
"1157-73303-45000-2-c14f7f09,12:41:52,12:41:52,6249-5d2e6499,11,BUCKLND BCH,0,0,4.936,0"
