shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1396-03803-3c87ff8c,-36.97739,174.78376,333,6.495
1396-03803-3c87ff8c,-36.97741,174.78379,334,6.498
1396-03803-3c87ff8c,-36.97734,174.78385,335,6.507
1396-03803-3c87ff8c,-36.97701,174.7841,336,6.55
1396-03803-3c87ff8c,-36.97696,174.78413,337,6.556
1396-03803-3c87ff8c,-36.97692,174.78415,338,6.561
1396-03803-3c87ff8c,-36.97687,174.78418,339,6.567
1396-03803-3c87ff8c,-36.97682,174.7842,340,6.573
1396-03803-3c87ff8c,-36.97679,174.78421,341,6.576
1396-03803-3c87ff8c,-36.97673,174.78423,342,6.583
1396-03803-3c87ff8c,-36.9767,174.78423,343,6.586
1396-03803-3c87ff8c,-36.97665,174.78424,344,6.592
1396-03803-3c87ff8c,-36.97559,174.78439,345,6.71
1396-03803-3c87ff8c,-36.9753,174.78442,346,6.742
1396-03803-3c87ff8c,-36.9753,174.78438,347,6.746
1396-03803-3c87ff8c,-36.9753,174.78438,348,6.746
1396-03803-3c87ff8c,-36.9753,174.78442,349,6.75
1396-03803-3c87ff8c,-36.97515,174.78445,350,6.767
1396-03803-3c87ff8c,-36.9746,174.78452,351,6.828
1396-03803-3c87ff8c,-36.97366,174.78465,352,6.933
1396-03803-3c87ff8c,-36.97342,174.78468,353,6.96
1396-03803-3c87ff8c,-36.97341,174.78463,354,6.965
1396-03803-3c87ff8c,-36.97341,174.78463,355,6.965
1396-03803-3c87ff8c,-36.97342,174.78468,356,6.97
1396-03803-3c87ff8c,-36.97207,174.78488,357,7.121
1396-03803-3c87ff8c,-36.97212,174.78538,358,7.166
1396-03803-3c87ff8c,-36.97207,174.7854,359,7.172
1396-03803-3c87ff8c,-36.97212,174.78538,360,7.178
1396-03803-3c87ff8c,-36.97213,174.78541,361,7.181
1396-03803-3c87ff8c,-36.97221,174.78641,362,7.27
1396-03803-3c87ff8c,-36.97222,174.78646,363,7.275
1396-03803-3c87ff8c,-36.97222,174.78651,364,7.279
1396-03803-3c87ff8c,-36.97222,174.78655,365,7.283
1396-03803-3c87ff8c,-36.97222,174.7866,366,7.287
1396-03803-3c87ff8c,-36.97221,174.78667,367,7.293
1396-03803-3c87ff8c,-36.97221,174.78672,368,7.297
1396-03803-3c87ff8c,-36.9722,174.78676,369,7.301
1396-03803-3c87ff8c,-36.97218,174.78684,370,7.308
1396-03803-3c87ff8c,-36.97222,174.78687,371,7.313
1396-03803-3c87ff8c,-36.97224,174.78689,372,7.316
1396-03803-3c87ff8c,-36.97231,174.78696,373,7.326
1396-03803-3c87ff8c,-36.97236,174.78702,374,7.334
1396-03803-3c87ff8c,-36.97242,174.78709,375,7.343
1396-03803-3c87ff8c,-36.97285,174.78781,376,7.423
1396-03803-3c87ff8c,-36.97339,174.78872,377,7.524
1396-03803-3c87ff8c,-36.97352,174.78895,378,7.549
1396-03803-3c87ff8c,-36.97358,174.78905,379,7.56
1396-03803-3c87ff8c,-36.97361,174.78909,380,7.565
1396-03803-3c87ff8c,-36.97371,174.78927,381,7.584
1396-03803-3c87ff8c,-36.9738,174.78941,382,7.6
1396-03803-3c87ff8c,-36.97399,174.78971,383,7.634
1396-03803-3c87ff8c,-36.97402,174.78977,384,7.64
1396-03803-3c87ff8c,-36.97441,174.79047,385,7.716
1396-03803-3c87ff8c,-36.97473,174.791,386,7.775
1396-03803-3c87ff8c,-36.97488,174.79125,387,7.803
1396-03803-3c87ff8c,-36.97492,174.79132,388,7.811
1396-03803-3c87ff8c,-36.97495,174.79139,389,7.818
1396-03803-3c87ff8c,-36.97499,174.79148,390,7.827
1396-03803-3c87ff8c,-36.97501,174.79153,391,7.832
1396-03803-3c87ff8c,-36.97504,174.79161,392,7.84
1396-03803-3c87ff8c,-36.97518,174.7921,393,7.886
1396-03803-3c87ff8c,-36.97514,174.79212,394,7.891
1396-03803-3c87ff8c,-36.97518,174.7921,395,7.896
1396-03803-3c87ff8c,-36.97536,174.7927,396,7.953
1396-03803-3c87ff8c,-36.97542,174.7929,397,7.972
1396-03803-3c87ff8c,-36.97554,174.79328,398,8.008
1396-03803-3c87ff8c,-36.97613,174.79528,399,8.198
1396-03803-3c87ff8c,-36.97614,174.79535,400,8.204
1396-03803-3c87ff8c,-36.97616,174.79544,401,8.212
1396-03803-3c87ff8c,-36.97617,174.7955,402,8.217
1396-03803-3c87ff8c,-36.97617,174.79558,403,8.224
1396-03803-3c87ff8c,-36.97618,174.79564,404,8.229
1396-03803-3c87ff8c,-36.97616,174.79597,405,8.258
1396-03803-3c87ff8c,-36.97615,174.79625,406,8.283
1396-03803-3c87ff8c,-36.97609,174.79747,407,8.392
1396-03803-3c87ff8c,-36.97608,174.79769,408,8.412
1396-03803-3c87ff8c,-36.97562,174.79765,409,8.463
